"Data";"Block";"fold";"Dim";"OOB_Acc";"Test_Acc";"Test_F1";"Time"
"ESCA_subset.RData";"mutation";"4";"97 x 1517";"0.824742268041237";"0.833333333333333";"0";"0.00390278100967407"
"ESCA_subset.RData";"mutation";"5";"97 x 1517";"0.824742268041237";"0.833333333333333";"0";"0.00371931791305542"
"ESCA_subset.RData";"rna";"1";"97 x 3825";"0.845360824742268";"0.833333333333333";"0";"0.00450283686319987"
"ESCA_subset.RData";"rna";"2";"97 x 3825";"0.835051546391753";"0.833333333333333";"0";"0.00570404926935832"
"ESCA_subset.RData";"rna";"3";"96 x 3825";"0.833333333333333";"0.84";"0";"0.00530375242233276"
"ESCA_subset.RData";"rna";"4";"97 x 3825";"0.835051546391753";"0.833333333333333";"0";"0.00506988366444906"
"ESCA_subset.RData";"rna";"5";"97 x 3825";"0.835051546391753";"0.833333333333333";"0";"0.00465303262074788"
"ESCA_subset.RData";"cnv";"1";"97 x 2899";"0.88659793814433";"0.875";"0.4";"0.00430276791254679"
"ESCA_subset.RData";"cnv";"2";"97 x 2899";"0.876288659793814";"0.875";"0.4";"0.00400253136952718"
"ESCA_subset.RData";"cnv";"3";"96 x 2899";"0.833333333333333";"1";"1";"0.00371931791305542"
"ESCA_subset.RData";"cnv";"4";"97 x 2899";"0.907216494845361";"0.875";"0.4";"0.00381908019383748"
"ESCA_subset.RData";"cnv";"5";"97 x 2899";"0.907216494845361";"0.916666666666667";"0.75";"0.00363554954528809"
"ESCA_subset.RData";"clin";"1";"97 x 4";"0.824742268041237";"0.833333333333333";"0";"0.00130093495051066"
"ESCA_subset.RData";"clin";"2";"97 x 4";"0.865979381443299";"0.666666666666667";"0.2";"0.00146776835123698"
"ESCA_subset.RData";"clin";"3";"96 x 4";"0.802083333333333";"0.84";"0";"0.00495353539784749"
"ESCA_subset.RData";"clin";"4";"97 x 4";"0.835051546391753";"0.833333333333333";"0";"0.00141770044962565"
"ESCA_subset.RData";"clin";"5";"97 x 4";"0.835051546391753";"0.833333333333333";"0";"0.00155113538106283"
"HNSC_subset.RData";"mirna";"1";"330 x 397";"0.733333333333333";"0.740740740740741";"0";"0.00740526914596558"
"HNSC_subset.RData";"mirna";"2";"329 x 397";"0.732522796352584";"0.74390243902439";"0";"0.00707171758015951"
"HNSC_subset.RData";"mirna";"3";"329 x 397";"0.738601823708207";"0.719512195121951";"0";"0.00710506836573283"
"HNSC_subset.RData";"mirna";"4";"328 x 397";"0.73780487804878";"0.72289156626506";"0";"0.00730519692103068"
"HNSC_subset.RData";"mirna";"5";"328 x 397";"0.731707317073171";"0.734939759036145";"0";"0.00740528504053752"
"HNSC_subset.RData";"mutation";"1";"330 x 1785";"0.715151515151515";"0.703703703703704";"0.0769230769230769";"0.0201473514238993"
"HNSC_subset.RData";"mutation";"2";"329 x 1785";"0.702127659574468";"0.682926829268293";"0.133333333333333";"0.0220490694046021"
"HNSC_subset.RData";"mutation";"3";"329 x 1785";"0.68693009118541";"0.670731707317073";"0.129032258064516";"0.0246675809224447"
"HNSC_subset.RData";"mutation";"4";"328 x 1785";"0.673780487804878";"0.72289156626506";"0.303030303030303";"0.0259851336479187"
"HNSC_subset.RData";"mutation";"5";"328 x 1785";"0.692073170731707";"0.72289156626506";"0.258064516129032";"0.0235834320386251"
"HNSC_subset.RData";"rna";"1";"330 x 3229";"0.848484848484849";"0.901234567901235";"0.764705882352941";"0.0179961363474528"
"HNSC_subset.RData";"rna";"2";"329 x 3229";"0.860182370820669";"0.853658536585366";"0.6";"0.0145600358645121"
"HNSC_subset.RData";"rna";"3";"329 x 3229";"0.866261398176292";"0.865853658536585";"0.666666666666667";"0.0144935846328735"
"HNSC_subset.RData";"rna";"4";"328 x 3229";"0.859756097560976";"0.843373493975904";"0.580645161290323";"0.0195138851801554"
"HNSC_subset.RData";"rna";"5";"328 x 3229";"0.859756097560976";"0.879518072289157";"0.705882352941176";"0.0132094144821167"
"HNSC_subset.RData";"cnv";"1";"330 x 2899";"0.984848484848485";"1";"1";"0.00949008464813232"
"HNSC_subset.RData";"cnv";"2";"329 x 2899";"0.990881458966565";"0.951219512195122";"0.91304347826087";"0.00875623226165772"
"HNSC_subset.RData";"cnv";"3";"329 x 2899";"0.987841945288754";"0.98780487804878";"0.977777777777778";"0.00865623553593953"
"HNSC_subset.RData";"cnv";"4";"328 x 2899";"0.984756097560976";"0.987951807228916";"0.977777777777778";"0.00840591589609782"
